# Time	forces(pressure, viscous) moment(pressure, viscous)
10	(((-60.1074 0.000381223 -4039.67) (2.58909 -0.0782727 0.00276394)) ((202.402 997.323 -0.0429653) (-0.036539 0.042794 -0.36591)))
20	(((-49.7696 -0.00514703 -3319.98) (-0.79578 0.00093192 -0.773204)) ((-300.672 1785.41 -4.2737) (0.0324625 0.578965 -0.508683)))
30	(((-14.2667 0.00028872 -556.338) (-4.59839 -0.0892542 -0.0629784)) ((182.655 206.208 0.309786) (0.0251917 -0.0781765 -0.520668)))
40	(((8.16024 -0.000278469 -476.881) (-6.52669 -0.859936 -0.855204)) ((128.037 86.1725 -0.70309) (-0.00953709 0.787621 -0.734608)))
50	(((-7.69196 -0.000487437 3265.79) (-7.27204 -1.21447 -0.519984)) ((50.1715 -1460.7 -0.398925) (0.0311473 0.537366 -0.817162)))
60	(((-5.59431 -0.000410858 2401.74) (-6.73478 -2.0613 -0.463131)) ((58.8193 -1044.6 -0.236045) (0.0687116 0.516872 -1.57896)))
70	(((-3.039 -0.000261045 1733.89) (-4.30518 -1.94091 -0.294258)) ((13.2627 -782.354 -0.307019) (0.104696 0.299025 -1.65245)))
80	(((-1.11289 -5.52142e-05 939.773) (-0.189793 -0.148994 -0.218552)) ((28.5273 -426 -0.074142) (0.0651621 0.160288 -0.366949)))
90	(((-1.10175 5.91463e-05 672.255) (3.54122 2.26436 -0.19923)) ((48.3811 -258.961 0.179788) (0.0125326 0.112867 1.16644)))
100	(((-2.76502 2.75263e-05 891.244) (5.4649 3.3883 -0.160868)) ((18.0193 -270.644 0.065298) (0.0150683 0.104318 1.83115)))
110	(((-4.48388 -8.46073e-05 1046.32) (7.11494 3.73255 -0.103405)) ((5.82514 -268.422 -0.0545779) (0.0104773 0.0971248 2.01618)))
120	(((-6.13016 -0.00022387 1096.64) (9.52794 3.70281 -0.0705032)) ((-26.1363 -261.312 -0.190036) (-0.0137532 0.102215 1.82815)))
